trip_id_unique,trip_duration_in_minutes
1100032,76.0
1101061,79.0
1101121,74.0
1101302,100.0
1102091,72.0
1102491,72.0
1102711,54.0
1103051,112.0
1103091,54.0
1103562,52.0
1103631,91.0
1103771,56.0
1103781,62.0
1103811,88.0
1103942,103.0
1103952,86.0
1104111,67.0
1104182,101.0
1104211,56.0
1104372,88.0
1104432,100.0
1104511,65.0
1105231,85.0
1105261,66.0
1105291,52.0
1105522,90.0
1105662,75.0
1105691,37.0
1105692,54.0
1105702,48.0
1105821,98.0
1106612,83.0
1106792,100.0
1106822,81.0
1107111,58.0
1107151,75.0
1107261,67.0
1107311,59.0
1107321,56.0
1107481,60.0
1107491,36.0
1107521,47.0
1107592,98.0
1107931,112.0
1108011,42.0
1108351,49.0
1108352,64.0
1108362,68.0
1108381,56.0
1108582,120.0
1108632,39.0
1108652,80.0
1108962,77.0
1109022,71.0
1109161,83.0
1109552,83.0
1109561,31.0
1109782,79.0
1110852,84.0
1111512,98.0
1112112,79.0
1112222,96.0
1112242,77.0
1112252,90.0
1112322,35.0
1112381,64.0
1112401,65.0
1112711,76.0
1112831,70.0
1113152,65.0
1113241,95.0
1113271,98.0
1113291,71.0
1113342,79.0
1113452,70.0
1113651,58.0
1113661,53.0
1113811,57.0
1114181,85.0
1114442,50.0
1114551,44.0
1114701,107.0
1114721,80.0
1114821,63.0
1115291,51.0
1116351,46.0
1116461,67.0
1116462,75.0
1116562,58.0
1116631,61.0
1116881,57.0
1116891,56.0
1116911,77.0
1116982,102.0
1117412,60.0
1117521,62.0
1118090,89.0
1118152,83.0
1118162,65.0
1118252,87.0
1118591,67.0
1118731,62.0
1119072,76.0
1119082,77.0
1119391,85.0
1119402,68.0
1119461,51.0
1119990,109.0
1120142,72.0
1120162,77.0
1120172,54.0
1120272,52.0
1120352,85.0
1120362,65.0
1120442,81.0
1120472,77.0
1120762,50.0
1121192,75.0
1121632,70.0
1122362,83.0
1123442,104.0
1124002,64.0
1124722,53.0
1125002,57.0
1125112,80.0
1126412,69.0
1126422,90.0
1127000,78.0
1127080,78.0
1127382,79.0
1127542,92.0
1127652,74.0
1127992,77.0
1129642,63.0
1131012,62.0
1133140,56.0
1133852,68.0
1133862,59.0
1135522,57.0
1135842,88.0
1135872,63.0
1137332,133.0
1138512,61.0
1139722,72.0
1139812,90.0
1141312,83.0
1141392,84.0
1142042,98.0
1142062,56.0
1142192,82.0
1142942,101.0
1145022,73.0
1145042,75.0
1145432,132.0
1145912,74.0
1146182,85.0
1146642,89.0
1147250,51.0
1147392,86.0
1147472,70.0
1148002,90.0
1149462,49.0
1149942,101.0
1150002,49.0
1150012,58.0
1150102,50.0
1150412,96.0
1150422,82.0
